,count,missPerc,card,mode,modeFreq,modePerc,secMode,secModeFreq,secModePerc
country,1344,0.0,162,Zimbabwe,10,1.0,Kosovo,10,1.0
Happiness Score,1344.0,0.0,6.0,5.0,435.0,43.5,6.0,342,34.2
