,Unnamed: 0,country,year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government,Democratic Quality,Delivery Quality,Standard deviation of ladder by country-year,Standard deviation/Mean of ladder by country-year,GINI index (World Bank estimate),"GINI index (World Bank estimate), average 2000-15","gini of household income reported in Gallup, by wp5-year",CPI,Crime Index,Safety Index,GDP,Happiness Rank,Happiness Score,Standard Error,Lower Confidence Interval,Upper Confidence Interval,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Dystopia Residual,underFiveMortality,Life expectancy at birth (years),Life expectancy at age 60 (years)
2,2,Afghanistan,2010,4.75838089,7.386628627999999,0.539075196,50.00896072,0.60012722,0.0,0.706766069,0.61826545,0.275323808,0.299357414,-1.991809964,-1.617176056,1.878621817,0.394802749,,,0.327318162,0.0,0.0,0.0,15.325,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.2,58.8,15.7
12,12,Albania,2010,5.268936634,9.203025817999999,0.73315227,67.41369629,0.568958402,0.0,0.726261675,0.647908092,0.300060242,,-0.033830658,-0.246433005,1.862201214,0.35343018200000004,,0.30325,0.54352808,0.0,0.0,0.0,11.937999999999999,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.6,76.2,20.8
20,20,Algeria,2010,5.46356678,9.462700844,,64.29898071,0.592695832,0.0,0.618037879,,,,-1.140852928,-0.74009335,1.626279473,0.29765895,,0.276,0.492713004,0.0,0.0,0.0,161.207,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.3,74.7,21.4
34,34,Argentina,2010,6.441067219,9.836923599,0.926798582,66.55217743,0.730258167,0.0,0.8546954390000001,0.846135557,0.210975498,0.35185614200000004,0.138445795,-0.469284207,2.107838392,0.327249855,0.445,0.4760666670000001,0.366741836,0.0,0.0,0.0,424.728,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.5,75.5,20.8
46,46,Armenia,2010,4.3678112030000005,8.810287476000001,0.660342336,63.84191895,0.459256709,0.0,0.890629232,0.509669185,0.42649585,0.3555446270000001,-0.387849867,-0.264826328,2.092667818,0.479111314,0.311,0.325066667,0.385237962,0.0,0.0,0.0,9.26,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.1,73.5,19.0
57,57,Australia,2010,7.450047016,10.6306715,0.95451957,71.8523407,0.932058573,0.0,0.3661274020000001,0.8342362640000001,0.220073208,0.609752893,1.154312849,1.815897942,1.737801909,0.233260527,0.34700000000000003,0.34275,0.412946343,0.0,0.0,0.0,1249.5230000000001,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8,81.9,24.7
67,67,Austria,2010,7.302678585,10.67785931,0.914193332,70.63227844,0.8959797620000001,0.0,0.546144843,0.8147191999999999,0.155792549,0.486446619,1.291469693,1.670084953,1.753247619,0.240082815,0.303,0.303818182,0.367440253,0.0,0.0,0.0,392.62300000000005,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,80.4,23.4
79,79,Azerbaijan,2010,4.218610764,9.677229881,0.68700099,62.05378342,0.501071095,0.0,0.8583466409999999,0.5269305710000001,0.271873325,0.697391331,-0.771567702,-0.829041004,1.893795133,0.448914409,,0.228833333,0.42364651,0.0,0.0,0.0,52.913000000000004,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.2,71.1,17.9
88,88,Bahrain,2010,5.936869144,10.61079693,0.877115071,65.27598572,0.8620029090000001,0.0,0.714620173,0.6845875379999999,0.4226707220000001,,-0.7296932340000001,0.447392017,1.5757116080000002,0.265411198,,,0.32520765100000004,0.0,0.0,0.0,25.713,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.6,76.1,19.1
100,100,Bangladesh,2010,4.858481407,7.800871372,0.5493984820000001,60.20746994,0.659005642,0.0,0.7735304829999999,0.628579915,0.292425215,0.6468728779999999,-0.846942365,-0.8606936340000001,1.930316091,0.397308528,0.321,0.329,0.450516969,0.0,0.0,0.0,122.039,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.4,69.9,18.4
