,Unnamed: 0,country,year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government,Democratic Quality,Delivery Quality,Standard deviation of ladder by country-year,Standard deviation/Mean of ladder by country-year,GINI index (World Bank estimate),"GINI index (World Bank estimate), average 2000-15","gini of household income reported in Gallup, by wp5-year",CPI,Crime Index,Safety Index,GDP,Happiness Rank,Happiness Score,Standard Error,Lower Confidence Interval,Upper Confidence Interval,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Dystopia Residual,underFiveMortality,Life expectancy at birth (years),Life expectancy at age 60 (years)
6,6,Afghanistan,2014,3.130895615,7.484583378,0.525568426,51.37052536,0.508514047,0.0,0.871241987,0.531691492,0.374860734,0.409047514,-1.77325666,-1.312502503,1.395396113,0.445685923,,,0.413973927,12.0,82.51,17.49,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.1 [64.0-88.1],59.9,15.9
16,16,Albania,2014,4.813763142,9.278097153,0.6255869270000001,68.51210022,0.734648407,0.0,0.882704437,0.684910536,0.334542662,0.49878639,0.314873487,-0.187407121,2.660069466,0.552596688,,0.30325,0.417218775,33.0,51.31,48.69,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.4 [8.2-24.7],77.5,21.5
23,23,Algeria,2014,6.354898453,9.509209633,0.818189442,65.13015747,,0.0,,0.62590462,0.176866099,,-1.002866626,-0.783428013,1.6324607130000002,0.25688228,,0.276,0.47549203,36.0,52.31,47.69,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.6 [24.8-26.5],75.4,21.7
29,29,Angola,2014,3.794837952,8.741956711,0.754615486,52.46070862,0.374541551,0.0,0.83407563,0.578517139,0.367864132,0.572345674,-0.739363015,-1.16853869,2.196711302,0.57886827,,0.4270000000000001,0.440698594,19.0,63.05,36.95,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.2 [50.0-151.5],51.7,15.7
38,38,Argentina,2014,6.671114445,9.841482162,0.917870402,67.11812592,0.7450577620000001,0.0,0.8541916009999999,0.857123733,0.237912863,0.408961415,0.17009933300000002,-0.665261686,2.129255772,0.319175422,0.4270000000000001,0.4760666670000001,0.310103148,34.0,57.48,42.52,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.1 [11.9-12.4],76.2,21.4
50,50,Armenia,2014,4.453083038,8.983579636,0.7387635109999999,64.63682556,0.506487131,0.0,0.920390487,0.5809598570000001,0.403984338,0.214914635,-0.429609388,-0.218632609,2.137263775,0.479951471,0.315,0.325066667,0.388721585,37.0,35.01,64.99,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.7 [11.8-18.8],74.6,19.5
61,61,Australia,2014,7.288550377000001,10.67811298,0.92379874,72.38433838,0.922932267,0.0,0.44202137,0.775209963,0.245304301,0.464676231,1.196954012,1.81184423,1.795415401,0.246333674,,0.34275,0.451516807,80.0,41.23,58.77,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0 [3.9-4.1],82.7,25.3
71,71,Austria,2014,6.949999809,10.69957161,0.8989204759999999,71.42971802,0.8850268720000001,0.0,0.566931307,0.7796927690000001,0.17014955,0.407695413,1.331010818,1.621878743,1.836291671,0.264214635,0.305,0.303818182,0.344870776,72.0,25.83,74.17,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7 [3.6-3.9],81.4,24.1
83,83,Azerbaijan,2014,5.25153017,9.724067688,0.7994333509999999,62.75916289999999,0.732772946,0.0,0.65384531,0.5976272229999999,0.219982117,0.778209925,-1.019543648,-0.582985878,1.473186493,0.280525178,,0.228833333,0.254078448,29.0,34.16,65.84,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.2 [21.4-51.9],72.5,18.7
92,92,Bahrain,2014,6.165133953,10.688241,,65.76468658,,0.0,,,,,-1.109268785,0.491515696,2.422525406,0.392939627,,,0.463821948,49.0,20.52,79.48,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8 [7.2-8.5],76.8,19.6
104,104,Bangladesh,2014,4.635564804,7.997340679,0.577065051,61.60427856,0.735512853,0.0,0.7893747090000001,,0.230678365,0.7191014290000001,-0.6847464440000001,-0.84198302,1.897618651,0.409360826,,0.329,0.393071204,25.0,62.17,37.83,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.6 [36.0-41.3],71.4,18.8
116,116,Belarus,2014,5.812400818,9.795022964,0.8802588579999999,64.86287689,0.647184551,0.0,0.68150872,0.6189292670000001,0.208535567,0.507746696,-0.631544709,-0.6599788670000001,1.884241223,0.324176073,0.272,0.281875,0.263802916,31.0,32.89,67.11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2 [4.1-4.4],72.0,18.7
127,127,Belgium,2014,6.855329037000001,10.63065338,0.943549156,72.14292908,0.86095351,0.0,0.511975765,0.797633767,0.251557052,0.469111621,1.033804297,1.40902257,1.681074142,0.245221511,0.281,0.28518181800000003,0.402563632,76.0,41.53,58.47,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1 [3.9-4.3],80.9,23.9
132,132,Belize,2014,5.955646515,8.987882614,0.756932497,58.92390823,0.8735690709999999,0.0,0.7821053859999999,0.754977345,0.281604409,0.384267181,0.284335703,-0.5243054629999999,2.455256701,0.412256956,,,0.446025997,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.3 [15.3-17.3],70.0,17.0
138,138,Benin,2014,3.347419262,7.601466656,0.506091297,51.11705399,0.775545776,0.0,0.8548269270000001,0.5896450879999999,0.273385257,0.574232161,0.14672102,-0.549206376,1.68771112,0.5041827560000001,,0.432666667,0.5141517520000001,39.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.8 [82.0-130.3],59.7,15.6
143,143,Bhutan,2014,4.938578129,8.904687881000001,0.880341947,60.2303009,0.834222496,0.0,0.650338471,0.858864307,0.324097872,0.958492339,0.482542783,0.229389429,0.991038561,0.20067285,,0.412333333,0.471103579,65.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.1 [26.3-45.2],69.4,20.4
153,153,Bolivia,2014,5.864798546,8.752238274,0.821344614,59.30395126,0.881058872,0.0,0.831854463,0.808609068,0.398219466,0.4685612320000001,-0.17971593100000002,-0.785820484,1.837735891,0.31335023,0.484,0.531642857,0.413909733,35.0,68.97,31.03,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
163,163,Bosnia and Herzegovina,2014,5.248954296,9.260712624,0.787651718,67.52626038,0.411937386,0.0,0.976339638,0.531435847,0.262175202,0.095099099,-0.04507716,-0.258664042,2.243072033,0.427336931,,0.32725,0.438962758,39.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1 [5.8-6.5],77.2,20.5
173,173,Botswana,2014,4.031197071,9.674996376000001,0.859477818,55.30326843,0.791371226,0.0,0.743073821,0.674190462,0.245051414,0.707628131,0.723632157,0.606363952,2.363683701,0.586347818,,0.626,0.621809065,63.0,47.03,52.97,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.6 [20.8-79.1],65.1,17.2
185,185,Brazil,2014,6.980998992999999,9.640237808,0.898316443,64.82875061,0.713814318,0.0,0.710303426,0.7882299420000001,0.273540527,0.355228692,0.200818881,-0.15146631,2.107698202,0.30191928100000004,0.515,0.550214286,0.394136488,43.0,67.0,33.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.4 [14.5-18.6],74.8,21.5
194,194,Bulgaria,2014,4.4384398460000005,9.699056625,0.885949194,66.4154892,0.575595915,0.0,0.954636931,0.627810121,0.235593721,0.140402734,0.222501963,0.08854121,1.997746468,0.450101048,0.374,0.35466666700000005,0.385362953,43.0,40.02,59.98,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8 [8.4-9.1],74.3,19.5
205,205,Burkina Faso,2014,3.481347799,7.366656302999999,0.742262065,51.18559647,0.709964514,0.0,0.800757825,0.613731802,0.255644113,0.54308641,-0.569490254,-0.474964172,2.151571989,0.6180284620000001,0.353,0.394666667,0.692569435,38.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.8 [76.1-111.9],59.3,15.3
212,212,Burundi,2014,2.904535055,6.688570023,0.5646781329999999,48.56855774,0.431384981,0.0,0.8076188559999999,0.655663729,0.251094639,,-0.912845612,-1.01520884,2.216345549,0.763063788,,0.363,0.7096520070000001,20.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.9 [64.8-94.0],59.1,16.5
221,221,Cambodia,2014,3.88330555,8.046971321000001,0.693434179,57.70112228,0.937544584,0.0,0.8425551059999999,0.7832403179999999,0.481934011,0.696742117,-0.542288065,-0.801274061,2.572756767,0.66251719,,,0.541756451,21.0,40.76,59.24,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.7 [23.5-48.2],68.3,17.2
233,233,Cameroon,2014,4.240441322,8.069768906,0.7777770759999999,48.93240356,0.794645548,0.0,0.8558497429999999,0.622732699,0.216039628,0.609312952,-1.00179708,-0.934020281,2.110923052,0.497807384,0.465,0.438,0.586360455,27.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.5 [72.8-105.2],56.7,16.4
245,245,Canada,2014,7.30425787,10.66770744,0.917836308,71.95877075,0.93889761,0.0,0.441735327,0.833403885,0.25860241100000003,0.516953588,1.293931961,1.833163381,1.759425759,0.240876734,,0.3368,0.6790111059999999,81.0,36.29,63.71,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2 [4.8-5.5],82.0,24.9
261,261,Chad,2014,3.460182905,7.638511181,0.733066797,45.01896667,0.566795349,0.0,0.880934,0.536371291,0.328528851,0.366833448,-1.44996798,-1.277309537,1.61113441,0.465621173,,0.4155,0.499015778,22.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.5 [116.2-153.8],52.6,15.8
273,273,Chile,2014,6.844238281,10.00903797,0.861552179,69.09392548,0.733326375,0.0,0.758497715,0.86981076,0.276103258,0.399530023,0.751715839,1.394348741,2.064368248,0.301621318,,0.491571429,0.426405013,73.0,47.09,52.91,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5 [8.3-8.7],80.3,24.3
285,285,China,2014,5.1956191060000005,9.453964232999999,0.820366025,68.86785889,,0.0,,0.853974998,0.111517705,,-1.069626093,-0.178662673,1.783343315,0.343239814,,0.425,0.4596745370000001,36.0,30.13,69.87,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.5 [10.6-12.6],75.8,19.6
297,297,Colombia,2014,6.44878912,9.450613976,0.907402635,63.67808533,0.801191449,0.0,0.886645734,0.84708029,0.278056443,0.298372507,-0.578955114,-0.06621252,2.298457146,0.35641685100000003,0.535,0.5525,0.465678215,37.0,58.54,41.46,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.3 [13.3-19.8],74.6,21.6
309,309,Congo (Brazzaville),2014,4.05601263,8.619398117000001,0.685934663,53.8265419,0.6616381410000001,0.0,0.808412731,0.5952547189999999,0.400229424,0.483726323,-0.7338023779999999,-1.153099179,2.436527491,0.600719869,,0.481,0.628249288,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
317,317,Congo (Kinshasa),2014,4.414299965,6.58717823,0.822286069,49.71036148,0.556099296,0.0,0.8136760000000001,0.5588702560000001,0.304635078,0.31167382,-1.72729969,-1.419014096,1.571212411,0.355936944,,0.4215,0.509399414,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
329,329,Costa Rica,2014,7.247086048,9.574430466,0.914211214,69.36408997,0.926707387,0.0,0.7880374790000001,0.83678627,0.28952890600000003,0.40445292,0.857882202,0.556848884,2.1874156000000005,0.301833808,0.485,0.4913125,0.549096227,54.0,61.4,38.6,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.4 [8.9-10.0],79.5,24.0
339,339,Croatia,2014,5.380692482000001,9.910268784,0.645697773,67.54496765,0.518878043,0.0,0.917735159,0.59617871,0.285895109,0.15500845,0.5670263170000001,0.406689763,1.938131213,0.360201061,0.322,0.323333333,0.350669622,48.0,28.9,71.1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9 [4.7-5.1],77.8,21.3
350,350,Cyprus,2014,5.627123833,10.29927731,0.770175993,72.30525970000002,0.715065658,0.0,0.868237555,0.7372841240000001,0.397172987,0.244740322,0.7859262229999999,1.098010421,2.480685711,0.440844357,0.35600000000000004,0.32490909100000004,0.445258856,63.0,37.56,62.44,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9 [2.5-3.3],80.3,22.3
360,360,Czech Republic,2014,6.483729839,10.27916718,0.877915204,69.72926331,0.800421,0.0,0.8968806859999999,0.6784069540000001,0.235220566,0.339732826,1.008329034,0.885882437,2.031708002,0.31335482,0.259,0.264727273,0.244812816,51.0,33.88,66.12,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
