,Unnamed: 0,country,year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government,Democratic Quality,Delivery Quality,Standard deviation of ladder by country-year,Standard deviation/Mean of ladder by country-year,GINI index (World Bank estimate),"GINI index (World Bank estimate), average 2000-15","gini of household income reported in Gallup, by wp5-year",CPI,Crime Index,Safety Index,GDP,Happiness Rank,Happiness Score,Standard Error,Lower Confidence Interval,Upper Confidence Interval,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Dystopia Residual,underFiveMortality,Life expectancy at birth (years),Life expectancy at age 60 (years)
164,164,Bosnia and Herzegovina,2015,5.1171779630000005,9.29944706,0.655723631,67.6823349,0.630698025,0.24808,0.959853649,0.5339874029999999,0.28623414,0.194221586,-0.250270844,-0.354031891,2.427489996,0.474380612,,0.32725,0.450905263,38.0,0.0,0.0,16.218,96,4.949,0.06913,,,0.8322299999999999,0.91916,0.79081,0.09245,0.00227,2.06367,6.1,77.4,20.6
174,174,Botswana,2015,3.761964798,9.639291763,0.815656066,56.20658493,0.857168913,0.10461,0.8602929709999999,0.7462040190000001,0.261428148,0.81921792,0.739141107,0.595356345,2.291608572,0.609152079,,0.626,0.650932074,63.0,46.77,53.23,14.445,128,4.332,0.04934,,,0.99355,1.10464,0.04776,0.49495,0.12474,1.46181,42.1,65.7,17.2
186,186,Brazil,2015,6.546896935,9.593288422,0.906693101,65.03707886,0.7989352940000001,0.14574,0.7713390590000001,0.7551940079999999,0.324699104,0.198534787,0.063678071,-0.230050251,2.2578587530000003,0.34487465,0.513,0.550214286,0.370239496,38.0,68.95,31.05,1799.705,16,6.983,0.040760000000000005,,,0.98124,1.23287,0.69702,0.49049,0.17521,3.26001,15.7,75.0,21.7
195,195,Bulgaria,2015,4.865401268,9.740972519,0.907517016,66.4154892,0.636817813,0.11921,0.941279948,0.64279449,0.214223832,0.249677315,0.22492975,0.102736883,2.19718051,0.451592863,,0.35466666700000005,0.358064651,41.0,43.45,56.55,50.199,134,4.218,0.04828,,,1.01216,1.10614,0.76649,0.30587,0.00872,0.89991,8.2,74.5,19.6
206,206,Burkina Faso,2015,4.418930054,7.375465393,0.705393493,51.59022141,0.659102738,0.21747,0.6927239890000001,0.579355955,0.359287649,0.668077111,-0.3620333670000001,-0.442156285,2.006526947,0.4540752770000001,,0.394666667,0.6274729370000001,38.0,0.0,0.0,10.425,152,3.587,0.04324,,,0.25812,0.85188,0.27125,0.39493,0.12832000000000002,1.46494,88.5,59.9,15.4
222,222,Cambodia,2015,4.162164688,8.098932266,0.728610277,58.01103973,0.956319809,0.40359,0.825130224,0.812529683,0.399102688,0.732658446,-0.530307293,-0.830225825,2.494041204,0.599217355,,,0.523953557,21.0,44.06,55.94,18.15,145,3.819,0.05069,,,0.46038,0.62736,0.61114,0.66246,0.07247,0.98195,32.0,68.7,17.3
234,234,Cameroon,2015,5.037964821,8.098358154,0.646312475,49.33501053,0.7914285659999999,0.20618000000000006,0.8680490259999999,0.650874555,0.346430004,0.613636553,-0.972241282,-0.935033321,2.519164801,0.50003618,,0.438,0.5591239929999999,27.0,64.84,35.16,30.932,133,4.252,0.04678,,,0.4225,0.8876700000000001,0.23402,0.49309,0.05786,1.95071,83.3,57.3,16.5
246,246,Canada,2015,7.412772655,10.66856194,0.939067066,72.11328888,0.931468964,0.45811,0.427152246,0.845327616,0.286280215,0.644104123,1.37086308,1.80216682,1.611453891,0.217388824,,0.3368,0.667739451,83.0,37.46,62.54,1559.6229999999998,5,7.427,0.03553,,,1.32629,1.32261,0.90563,0.63297,0.32957,2.45176,5.1,82.2,25.0
262,262,Chad,2015,4.3226752280000005,7.624441624,0.7512522340000001,45.34066391,0.474360883,0.18386,0.88863939,0.606682658,0.358437926,0.445897698,-1.154832244,-1.304761529,2.341886997,0.541767955,,0.4155,0.598915517,22.0,0.0,0.0,10.946,149,3.667,0.0383,,,0.34193,0.76062,0.1501,0.23501,0.05269,1.94296,130.9,53.1,15.8
274,274,Chile,2015,6.532749653,10.02289677,0.827141881,69.26559448,0.76888144,0.33363000000000004,0.811511338,0.8030247090000001,0.332746744,0.300492525,0.718928695,1.263902068,1.938147187,0.296681672,0.477,0.491571429,0.392625511,70.0,45.01,54.99,244.021,27,6.67,0.058,,,1.10715,1.12447,0.85857,0.44132,0.12869,2.67585,8.4,80.5,24.4
286,286,China,2015,5.303877831,9.515608788,0.793733716,69.01284027,,0.08185,,0.8089109059999999,0.171314985,,-1.105490565,-0.14332863699999998,2.069734097,0.390230358,,0.425,0.456791073,37.0,41.75,58.25,11226.186000000002,84,5.14,0.02424,,,0.89012,0.94675,0.81658,0.5169699999999999,0.02781,1.8604,10.7,76.1,19.7
298,298,Colombia,2015,6.387571812000001,9.471579552,0.8899000290000001,63.83065033,0.790897965,0.18401,0.8428993229999999,0.839294553,0.291769385,0.271786749,-0.532614708,-0.034292392000000005,2.246151209,0.35164398,0.511,0.5525,0.477427602,37.0,56.88,43.12,291.53,33,6.477,0.05051,,,0.91861,1.2401799999999998,0.69077,0.53466,0.0512,2.85737,15.8,74.8,21.7
