,Unnamed: 0,country,year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government,Democratic Quality,Delivery Quality,Standard deviation of ladder by country-year,Standard deviation/Mean of ladder by country-year,GINI index (World Bank estimate),"GINI index (World Bank estimate), average 2000-15","gini of household income reported in Gallup, by wp5-year",CPI,Crime Index,Safety Index,GDP,Happiness Rank,Happiness Score,Standard Error,Lower Confidence Interval,Upper Confidence Interval,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Dystopia Residual,underFiveMortality,Life expectancy at birth (years),Life expectancy at age 60 (years)
0,0,Afghanistan,2008,3.723589897,7.168690205,0.450662315,49.20966339,0.718114316,0.0,0.88168633,0.517637193,0.25819549,0.61207211,-1.929689527,-1.655084372,1.774661899,0.476599723,,,,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.2 [90.3-106.6],58.1,15.6
32,32,Argentina,2008,5.961034298,9.822107315,0.89219451,66.26942444,0.678222179,0.0,0.864996254,0.8234085440000001,0.318222284,0.286370575,0.136836872,-0.499129236,2.146841764,0.360145837,0.463,0.4760666670000001,,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.4 [15.1-15.7],75.4,21.0
44,44,Armenia,2008,4.651972294,8.930409431000001,0.7094855309999999,63.50712585,0.462156564,0.0,0.876099229,0.52071017,0.384891808,0.464447111,-0.433497459,-0.220862582,1.954565406,0.420158446,0.307,0.325066667,,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0 [17.3-23.0],73.2,19.0
56,56,Australia,2008,7.253757477000001,10.62901974,0.946635187,71.58848572,0.915733337,0.0,0.430810511,0.826390505,0.218427315,0.6446754339999999,1.161860466,1.843305469,1.688850999,0.232824296,0.354,0.34275,,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2 [5.1-5.3],81.3,24.2
66,66,Austria,2008,7.180953979,10.70251083,0.934592783,70.5018692,0.879069269,0.0,0.613625228,0.8321695920000001,0.173194528,0.257242203,1.348835111,1.7883032559999998,1.693994999,0.235901102,0.304,0.303818182,,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6 [4.4-4.7],80.4,23.4
77,77,Azerbaijan,2008,4.817189217,9.57254982,0.684267223,61.39962387,0.601043284,0.0,0.715124726,0.577819765,0.22679542,0.7922912240000001,-0.829303503,-0.777363598,1.885453343,0.391401142,0.318,0.228833333,,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.5 [35.3-53.5],70.3,17.7
98,98,Bangladesh,2008,5.052278519,7.719648837999999,0.466553479,59.42887115,0.606012166,0.0,0.801819921,0.725386858,0.231860757,0.761932433,-0.974027038,-0.858364224,1.7578980919999998,0.347941637,,0.329,,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.8 [53.7-58.2],69.1,18.3
110,110,Belarus,2008,5.4633321760000015,9.613955498,0.903700352,62.62764359,0.639923871,0.0,0.69649595,,0.245659292,0.533608973,-0.5374141929999999,-1.01087749,1.80446732,0.33028695,0.278,0.281875,,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6 [6.4-6.7],70.0,17.3
122,122,Belgium,2008,7.116590977,10.63632011,0.92297703,70.71643066,0.8870267270000001,0.0,0.651800513,0.81312269,0.241797924,0.46313706,0.973115921,1.378922582,1.528169155,0.214733317,0.284,0.28518181800000003,,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7 [4.6-4.8],79.5,23.0
134,134,Benin,2008,3.66713953,7.518199921,0.382373512,49.65314484,0.7094769479999999,0.0,0.825245738,0.583623111,0.30254617300000003,0.602834523,0.359619409,-0.499220818,1.727656603,0.471118331,,0.432666667,,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.6 [101.2-129.0],57.6,15.4
147,147,Bolivia,2008,5.297872543,8.554706572999999,0.7852623459999999,56.63377762,0.7256197329999999,0.0,0.801420391,0.78065443,0.392079622,0.441821098,-0.346296847,-0.748323917,1.877217889,0.354334295,0.514,0.531642857,,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
168,168,Botswana,2008,5.451147079,9.530126572,0.831905305,48.57147598,0.857776403,0.0,0.8062264920000001,0.7311799529999999,0.217885971,0.8804295059999999,0.772753358,0.699318826,2.40270257,0.44077009,,0.626,,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0 [31.8-88.1],57.5,16.5
179,179,Brazil,2008,6.691424847,9.532859802,0.878107548,63.19451523,0.781931102,0.0,0.6882727740000001,0.820271671,0.265485525,0.511010051,0.128192991,-0.085758515,2.26857686,0.339027464,0.544,0.550214286,,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.9 [20.4-23.6],73.4,20.5
200,200,Burkina Faso,2008,3.846438885,7.239715099,0.7266505959999999,47.87561035,0.612064183,0.0,0.88712436,0.52347374,0.303892225,0.462704718,-0.08165889999999999,-0.333371162,1.4179743530000002,0.368646026,,0.394666667,,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.1 [120.6-142.7],56.1,15.1
209,209,Burundi,2008,3.563227654,6.632449627000001,0.290933818,46.20161057,0.260069311,0.0,0.859813631,0.439698309,0.252771467,0.5693531629999999,-1.16172719,-1.121129155,1.5420134069999998,0.432757467,,0.363,,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.4 [92.8-117.6],55.3,16.0
215,215,Cambodia,2008,4.462163925,7.8047728539999985,0.619264305,55.2884407,0.914172947,0.0,0.888392031,0.73918283,0.335324019,0.737532258,-0.635804236,-0.95372206,1.429709673,0.320407242,,,,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.9 [45.3-59.6],65.6,16.7
227,227,Cameroon,2008,4.291800499,7.982021809,0.696715772,46.72340012,0.580257237,0.0,0.945002794,0.600210786,0.31248498,0.314642787,-0.809345841,-0.938749075,1.765405893,0.411343873,,0.438,,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.2 [107.5-134.4],54.2,16.1
239,239,Canada,2008,7.485603809,10.63612556,0.938707411,70.85425568,0.92631495,0.0,0.369587809,0.8902197479999999,0.202174947,0.590370953,1.224689126,1.8133744,1.615552664,0.215821296,,0.3368,,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8 [5.7-5.9],80.7,23.9
255,255,Chad,2008,4.632468224,7.459868431,0.570834816,42.40710068,0.526610374,0.0,0.943553567,0.569129646,0.225483745,0.348725855,-1.706331372,-1.472845316,1.346775055,0.290725172,,0.4155,,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.7 [144.4-172.1],49.6,15.4
