,Unnamed: 0,country,year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government,Democratic Quality,Delivery Quality,Standard deviation of ladder by country-year,Standard deviation/Mean of ladder by country-year,GINI index (World Bank estimate),"GINI index (World Bank estimate), average 2000-15","gini of household income reported in Gallup, by wp5-year",CPI,Crime Index,Safety Index,GDP,Happiness Rank,Happiness Score,Standard Error,Lower Confidence Interval,Upper Confidence Interval,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Dystopia Residual,underFiveMortality,Life expectancy at birth (years),Life expectancy at age 60 (years)
8,8,Afghanistan,2016,4.220168591,7.461400986,0.5590717789999999,52.01652908,0.522566199,0.31268,0.7932455540000001,0.564952672,0.348332286,0.324989557,-1.917693496,-1.432547569,1.796219468,0.42562741,,,0.418629497,15.0,0.0,0.0,1783.37,154,3.36,,3.2880000000000003,3.432,0.38227,0.11037,0.17344,0.1643,0.07112,2.14558,70.4,0.0,0.0
18,18,Albania,2016,4.511100769,9.337774277000001,0.638411462,68.87181091,0.72981894,0.1684,0.901070774,0.675243735,0.321705997,0.400909811,0.208455563,-0.139161408,2.646668196,0.586701214,,0.30325,0.416540354,39.0,48.15,51.85,10960.649,109,4.655,,4.546,4.7639999999999985,0.9553,0.50163,0.73007,0.31866,0.05301,1.92816,13.5,0.0,0.0
24,24,Algeria,2016,5.340853691,9.541166306000001,0.7485882640000001,65.50951385,,0.07044,,0.66051048,0.377111971,,-1.008261681,-0.814303935,2.114553452,0.395920485,,0.276,0.6046167020000001,34.0,57.58,42.42,13867.363,38,6.355,,6.227,6.483,1.05266,0.83309,0.6180399999999999,0.21006,0.16157,3.40904,25.2,0.0,0.0
40,40,Argentina,2016,6.427221297999999,9.824954987,0.882819116,67.39851379,0.847702205,0.10989000000000003,0.850924492,0.8419067259999999,0.31164646100000004,0.419561833,0.381369591,-0.238001987,2.127108574,0.330953062,,0.4760666670000001,0.332070827,36.0,63.28,36.72,18690.023,26,6.65,,6.56,6.74,1.15137,1.0661200000000002,0.69711,0.42284,0.07296,3.12985,11.1,0.0,0.0
52,52,Armenia,2016,4.325471878,9.010698318,0.709218323,64.96273041,0.610986948,0.07793,0.921421051,0.593600273,0.437227815,0.184713036,-0.609074652,-0.143277928,2.126364231,0.491591275,,0.325066667,0.381563634,33.0,31.11,68.89,8014.463,121,4.36,,4.266,4.454,0.8608600000000001,0.6247699999999999,0.64083,0.14037,0.036160000000000005,1.97864,13.4,0.0,0.0
63,63,Australia,2016,7.250080109,10.70131111,0.942334235,72.65033722,0.922315717,0.47407,0.398545116,0.790868282,0.236085787,0.452731758,1.1322160959999998,1.751191378,1.6988278630000002,0.234318495,,0.34275,0.520914137,79.0,43.12,56.88,45524.956,9,7.313,,7.241,7.385,1.44443,1.10476,0.8512,0.5683699999999999,0.32331,2.5465,3.7,0.0,0.0
73,73,Austria,2016,7.048071861,10.70004845,0.926318586,72.04971313,0.888513982,0.32865,0.52364099,0.755902588,0.197423846,0.432638228,1.05376327,1.568969846,1.704400182,0.241825029,,0.303818182,0.292294294,75.0,24.06,75.94,44520.875,12,7.119,,7.045,7.193,1.45038,1.0838299999999998,0.80565,0.54355,0.21348000000000006,2.69343,3.5,0.0,0.0
85,85,Azerbaijan,2016,5.303894997,9.679969788,0.777271032,62.96992874,0.712573171,0.0564,0.606770813,0.5975934860000001,0.191117197,0.734052122,-1.236555338,-0.468448669,1.613181591,0.30415037300000003,,0.228833333,0.288716018,30.0,32.39,67.61,16113.483,81,5.291,,5.226,5.356,1.12373,0.76042,0.54504,0.35327,0.17914000000000002,2.2735,30.9,0.0,0.0
94,94,Bahrain,2016,6.169673443,10.70677662,0.862700105,66.00422668,0.888691068,0.17147,,0.7871872190000001,0.283466339,,-1.154168129,0.333238959,2.259225607,0.366182357,,,0.482455522,43.0,37.26,62.74,43687.408,42,6.218,,6.127999999999999,6.308,1.44024,0.94397,0.65696,0.47375,0.25772,2.27405,7.6,0.0,0.0
106,106,Bangladesh,2016,4.556140900000001,8.107524872,0.649116933,62.20419693,0.874700487,0.19132,0.6878536340000001,0.559939086,0.235022455,0.845429063,-0.899546862,-0.719571948,1.982582808,0.435145199,,0.329,0.440177441,26.0,68.56,31.44,3617.054,110,4.643,,4.56,4.726,0.54177,0.24749,0.52989,0.39778,0.12583,2.60904,34.2,0.0,0.0
118,118,Belarus,2016,5.177899361000001,9.725690842,0.926551104,66.02493286,0.658228815,0.13942000000000002,0.664055169,0.5538702010000001,0.182106122,0.452669024,-0.635685742,-0.630231619,1.777631164,0.34331125,,0.281875,0.316431254,40.0,27.57,72.43,16759.492,61,5.8020000000000005,,5.723,5.881,1.1306200000000002,1.04993,0.6310399999999999,0.29091,0.17457,2.3858200000000003,3.9,0.0,0.0
