,Unnamed: 0,country,year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government,Democratic Quality,Delivery Quality,Standard deviation of ladder by country-year,Standard deviation/Mean of ladder by country-year,GINI index (World Bank estimate),"GINI index (World Bank estimate), average 2000-15","gini of household income reported in Gallup, by wp5-year",CPI,Crime Index,Safety Index,GDP,Happiness Rank,Happiness Score,Standard Error,Lower Confidence Interval,Upper Confidence Interval,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Dystopia Residual,underFiveMortality,Life expectancy at birth (years),Life expectancy at age 60 (years)
4,4,Afghanistan,2012,3.782937527,7.517126083,0.520636737,50.70926285,0.530935049,0.0,0.775619805,0.710384727,0.267919123,0.435440153,-1.842995763,-1.40407753,1.798283219,0.47536689,,,0.344539613,8.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.8,59.5,15.8
14,14,Albania,2012,5.5101242070000005,9.246648788,0.784501791,68.02888489,0.601512134,0.0,0.8476752040000001,0.606635928,0.271393239,0.364893705,-0.06078377,-0.328862011,1.92120254,0.34866774100000003,0.29,0.30325,0.5681526060000001,33.0,30.08,69.92,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.4,76.9,21.2
22,22,Algeria,2012,5.604595661,9.485086441,0.8393968940000001,64.73936462,0.586663485,0.0,0.6901163459999999,0.604023278,0.22971566,,-1.115534902,-0.77117157,1.939236641,0.346008301,,0.276,0.421408623,34.0,64.84,35.16,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.1,75.1,21.5
27,27,Angola,2012,4.360249996,8.699287415,0.7525928620000001,51.52178955,0.456028581,0.0,0.906300485,0.557908118,0.304890066,0.237090692,-0.7327846290000001,-1.124386311,2.150746107,0.493262112,,0.4270000000000001,,22.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.5,50.6,15.5
36,36,Argentina,2012,6.468387127000001,9.863960266,0.901776373,66.83669281,0.747498393,0.0,0.816546202,0.8565163020000001,0.272219121,0.418255478,0.19912523,-0.572653413,2.098196507,0.32437709,0.425,0.4760666670000001,0.317216903,35.0,48.38,51.62,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.3,75.9,21.3
48,48,Armenia,2012,4.319711685,8.924141883999999,0.6764464379999999,64.25839233,0.5018637779999999,0.0,0.8925443890000001,0.517862976,0.463855445,0.285362303,-0.20784822100000006,-0.17465871600000002,2.257862568,0.52268827,0.305,0.325066667,0.42068997,34.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.3,74.4,19.4
59,59,Australia,2012,7.195585727999999,10.65869617,0.944599032,72.16123962,0.935146272,0.0,0.368251741,0.810741782,0.214396909,0.420419186,1.248593807,1.79015696,1.761226296,0.24476482,,0.34275,0.406056434,85.0,40.62,59.38,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,82.3,25.1
69,69,Austria,2012,7.400688647999999,10.70505238,0.945142388,70.94441223,0.919703901,0.0,0.770585775,0.8222477440000001,0.15667499599999998,0.376573861,1.39467001,1.586992741,1.7226686480000002,0.232771397,0.311,0.303818182,0.323470145,69.0,44.08,55.92,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1,80.8,23.6
81,81,Azerbaijan,2012,4.910771847,9.673333168,0.761873245,62.47997284,0.598859072,0.0,0.763154805,0.553869426,0.266093403,0.707989275,-1.007616758,-0.799909055,1.891108274,0.385093898,,0.228833333,0.29988724,27.0,38.54,61.46,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.9,71.9,18.4
90,90,Bahrain,2012,5.0271868710000005,10.62035942,0.911349595,65.5225296,0.6818228959999999,0.0,0.437915266,0.589015484,0.380814761,,-1.223989844,0.467846751,1.900918961,0.378127784,,,0.330874622,51.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.1,76.5,19.4
102,102,Bangladesh,2012,4.724443913,7.903443812999999,0.581765294,60.94363022,0.66768229,0.0,0.7648944259999999,0.713508248,0.183245391,0.705811918,-0.8905148509999999,-0.88367945,1.928409934,0.408177137,,0.329,0.427503377,26.0,59.69,40.31,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.7,70.7,18.6
114,114,Belarus,2012,5.749043465,9.768808365,0.901961505,63.96964645,0.64524883,0.0,0.6574302320000001,0.523195446,0.180764526,,-0.749283075,-0.856439948,2.036961317,0.354313076,0.265,0.281875,0.280461252,31.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8,71.9,18.4
