,Unnamed: 0,country,year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government,Democratic Quality,Delivery Quality,Standard deviation of ladder by country-year,Standard deviation/Mean of ladder by country-year,GINI index (World Bank estimate),"GINI index (World Bank estimate), average 2000-15","gini of household income reported in Gallup, by wp5-year",CPI,Crime Index,Safety Index,GDP,Happiness Rank,Happiness Score,Standard Error,Lower Confidence Interval,Upper Confidence Interval,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Dystopia Residual,underFiveMortality,Life expectancy at birth (years),Life expectancy at age 60 (years)
1,1,Afghanistan,2009,4.401778221,7.333789825,0.55230844,49.62443161,0.678896368,0.0,0.8500354290000001,0.583925605,0.23709242,0.611545205,-2.044092655,-1.635024786,1.722687602,0.391361743,,,0.441905767,0.0,0.0,0.0,12.065999999999999,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.1,58.6,15.7
11,11,Albania,2009,5.485469817999999,9.161632538,0.833046615,67.10360718,0.525223255,0.0,0.8636654020000001,0.6400237679999999,0.27925652300000003,,0.048114333,-0.264634758,1.919640422,0.349950045,,0.30325,0.617361069,0.0,0.0,0.0,12.093,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.2,76.1,20.6
33,33,Argentina,2009,6.424133301,9.750824928,0.918693185,66.41030884,0.63664645,0.0,0.8847421999999998,0.863785565,0.236901477,0.273821533,0.023820966,-0.5709435939999999,2.067741632,0.32187092300000003,0.453,0.4760666670000001,0.368421584,0.0,0.0,0.0,334.63300000000004,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,75.6,21.2
45,45,Armenia,2009,4.177581787,8.78461647,0.6800069209999999,63.65806961,0.4414127470000001,0.0,0.8818874959999999,0.542872071,0.4112799170000001,0.37395224,-0.324350357,-0.207272127,2.17948246,0.521709085,0.29600000000000004,0.325066667,0.42757687,0.0,0.0,0.0,8.648,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,73.3,19.0
78,78,Azerbaijan,2009,4.573725224,9.641726494,0.735970318,61.75617599,0.498138398,0.0,0.753849745,0.543640077,0.233942479,0.77425164,-0.767848194,-0.758656263,1.893333793,0.413958788,,0.228833333,0.331235707,0.0,0.0,0.0,44.288999999999994,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.2,70.8,17.9
87,87,Bahrain,2009,5.7005233760000005,10.61440563,0.904143453,65.15145111,0.895931423,0.0,0.506103933,0.763664365,0.421889484,,-0.46372509,0.469330102,2.3650183680000003,0.414877415,,,0.346115768,0.0,0.0,0.0,22.938000000000002,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,76.0,19.0
99,99,Bangladesh,2009,5.08285141,7.75784874,0.527813554,59.82100296,0.630931079,0.0,0.776003957,0.670300305,0.223253846,0.8298596140000001,-0.916895628,-0.877776206,1.692142487,0.332912058,,0.329,0.418036848,0.0,0.0,0.0,108.896,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.6,69.5,18.4
111,111,Belarus,2009,5.56413126,9.618182182,0.907777846,62.58428192,0.679292619,0.0,0.67554307,0.565596819,0.223291501,0.5483329889999999,-0.529404283,-0.977222919,1.937371612,0.348189414,0.277,0.281875,0.338962793,0.0,0.0,0.0,50.855,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,70.0,17.3
148,148,Bolivia,2009,6.085579395,8.571310042999999,0.831319928,57.13157272,0.778938591,0.0,0.762604535,0.7967643740000001,0.372369289,0.468150496,-0.250255913,-0.805518031,1.977046371,0.324873984,0.4970000000000001,0.531642857,0.417889059,0.0,0.0,0.0,17.464000000000002,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
158,158,Bosnia and Herzegovina,2009,4.963477135,9.166772842,0.7352321740000001,66.80020905,0.257533818,0.0,0.958739877,0.5716494320000001,0.3902041020000001,,-0.331737727,-0.386236072,2.11041379,0.425188571,,0.32725,0.422992796,0.0,0.0,0.0,17.646,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2,76.1,19.7
180,180,Brazil,2009,7.000831604,9.521715164,0.912818074,63.50106049,0.766716063,0.0,0.722514987,0.832504809,0.274103165,0.4271785320000001,0.34414953,-0.055283636,2.236214876,0.31942132100000004,0.539,0.550214286,0.42893669,0.0,0.0,0.0,1667.658,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.8,73.6,20.7
210,210,Burundi,2009,3.791680813,6.633399487,0.325692534,46.59601974,0.427355915,0.0,0.718203425,0.6406222579999999,0.163642839,0.7548068170000001,-0.981066704,-1.119642258,1.496114612,0.394578218,,0.363,0.489852011,0.0,0.0,0.0,1.775,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.7,56.2,16.1
216,216,Cambodia,2009,4.110625744,7.790644646,0.818258047,55.81158829,0.937233329,0.0,0.96477896,0.796207786,0.187686995,0.902666688,-0.73800391,-0.930968106,1.3121916059999998,0.31921944,,,0.39114666,0.0,0.0,0.0,10.390999999999998,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,66.1,16.8
228,228,Cameroon,2009,4.741408348,7.976353645,0.7286939020000001,47.11940002,0.698030412,0.0,0.925447285,0.593138576,0.249821514,0.366200924,-0.757413745,-0.931468248,1.858961105,0.392069399,,0.438,0.454521298,0.0,0.0,0.0,26.085,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.5,54.8,16.2
240,240,Canada,2009,7.48782444,10.59473801,0.94284451,71.07483673,0.915057838,0.0,0.412622124,0.867432535,0.247633159,0.608264029,1.264292479,1.827808738,1.612508059,0.215350673,,0.3368,0.663209915,0.0,0.0,0.0,1371.152,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7,81.0,24.1
256,256,Chad,2009,3.639445066,7.468581676,0.645713627,42.84682465,0.4013702870000001,0.0,0.931180775,0.556809187,0.221047014,0.253101557,-1.563443899,-1.355986595,1.296360731,0.35619735700000005,,0.4155,0.497335047,0.0,0.0,0.0,9.288,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.7,50.7,15.5
268,268,Chile,2009,6.493686199,9.828087807000001,0.8315818309999999,68.40444946,0.746614039,0.0,0.734211445,0.808313727,0.299891174,0.575284302,0.810039222,1.346737504,2.214201212,0.34097755,0.49,0.491571429,0.459796339,0.0,0.0,0.0,172.528,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.9,79.3,23.6
280,280,China,2009,4.454360962,9.065513611,0.79803437,68.05751801,0.7711432579999999,0.0,,0.7858058809999999,0.16165024,,-1.075258732,-0.263004065,1.82876277,0.410555571,,0.425,0.566068769,0.0,0.0,0.0,5121.681,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,74.9,19.3
292,292,Colombia,2009,6.271604537999999,9.268606186,0.885926604,62.92282104,0.7571007009999999,0.0,0.8371434809999999,0.8426292540000001,0.27313149,0.440458208,-0.990759373,-0.198891595,2.465255022,0.393082023,0.5589999999999999,0.5525,0.474248737,0.0,0.0,0.0,233.893,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.2,73.6,21.1
301,301,Comoros,2009,3.47602725,7.255482197,0.629426777,52.53859711,0.507845283,0.0,0.838115692,0.671982408,0.167317495,0.31849536300000003,-0.554365277,-1.31932056,1.470138907,0.422936529,,0.5045,0.424450934,0.0,0.0,0.0,0.537,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.8,61.3,16.0
313,313,Congo (Kinshasa),2009,3.983848572,6.37739563,0.7330602409999999,47.64913177,0.55648756,0.0,0.8240104909999999,0.491489291,0.282622427,0.536580622,-1.7057397369999998,-1.561235905,1.698138952,0.426255912,,0.4215,0.464992553,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
324,324,Costa Rica,2009,7.614928722,9.436995506,0.899781644,68.64119720000001,0.8860610720000001,0.0,0.786559105,0.8762059209999999,0.217024222,0.521350086,0.7964512109999999,0.517225564,1.927315354,0.25309696800000003,0.51,0.4913125,0.431530535,0.0,0.0,0.0,30.826,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.3,79.2,23.7
334,334,Croatia,2009,5.433319569,9.923979759,0.860663235,66.40312958,0.549258351,0.0,0.958130538,0.6366631389999999,0.272170246,,0.548932552,0.318107456,1.938605309,0.356799424,0.326,0.323333333,0.332683444,0.0,0.0,0.0,62.636,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7,76.3,20.2
345,345,Cyprus,2009,6.8334774970000005,10.44544411,0.811736107,71.47497559,0.7745906709999999,0.0,0.8014236090000001,0.7462130779999999,0.329307944,0.563541174,0.728601873,1.226453185,2.0325746540000003,0.297443688,0.321,0.32490909100000004,0.398784131,0.0,0.0,0.0,26.008000000000003,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,79.3,21.5
367,367,Denmark,2009,7.683358668999999,10.67781448,0.93889159,68.77286529999999,0.949335575,0.0,0.205769762,0.74894917,0.233584777,0.626578152,1.269446611,2.121311903,1.577157021,0.205269217,0.267,0.267090909,0.504105687,0.0,0.0,0.0,321.243,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,78.9,22.1
377,377,Djibouti,2009,4.905925274,7.859205246,0.9005650279999999,51.01869583,0.649316013,0.0,0.634222806,0.662167549,0.232132807,0.6043562889999999,-0.357723445,-0.637458265,1.384643316,0.28223896,,0.430666667,,0.0,0.0,0.0,1.015,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.9,60.9,17.2
383,383,Dominican Republic,2009,5.431613922,9.250169754,0.87816149,62.18090820000001,0.862979472,0.0,0.805910408,0.7853925820000001,0.279788464,0.409594834,0.044193495,-0.588952959,3.128334999,0.57594943,0.489,0.4886875,0.5248675939999999,0.0,0.0,0.0,48.318999999999996,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.8,73.6,22.3
395,395,Ecuador,2009,6.021803379,9.125169754,0.779397964,65.86684418,0.736880839,0.0,0.774304509,0.840363145,0.255967915,0.535495281,-0.461774528,-1.036552548,2.232643843,0.370759994,0.493,0.505928571,0.429678172,0.0,0.0,0.0,62.52,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,75.1,22.7
407,407,Egypt,2009,5.066164494,9.165535927,0.7441799640000001,60.27038956,0.611082554,0.0,0.80086565,0.642155468,0.339482069,,-0.882275939,-0.274332017,1.853513718,0.365861326,,0.3122,0.373125821,0.0,0.0,0.0,198.31599999999997,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.4,69.9,17.1
419,419,El Salvador,2009,6.839087009,8.886497497999999,0.734112799,62.45551682,0.670932412,0.0,0.647527635,0.8503775,0.243230954,0.585728705,0.02572855,-0.180710003,1.934375644,0.282841206,0.459,0.4611875,0.372968554,0.0,0.0,0.0,20.660999999999998,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.2,71.4,21.1
431,431,Estonia,2009,5.137738705,10.00730324,0.873774767,65.10694122,0.61070931,0.0,0.793151677,0.597613275,0.243074834,0.224486127,0.825648963,1.13578403,1.895357847,0.3689089720000001,0.314,0.333,0.358138114,0.0,0.0,0.0,19.712,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,74.9,20.5
458,458,France,2009,6.2834982870000005,10.50068855,0.918158531,71.48602295,0.7982131840000001,0.0,0.654168189,0.7629392740000001,0.303366601,0.474448889,0.878130376,1.397212625,1.971057653,0.31368795,,0.3203,0.302955657,0.0,0.0,0.0,2700.658,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,81.1,24.7
