,Unnamed: 0,country,year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government,Democratic Quality,Delivery Quality,Standard deviation of ladder by country-year,Standard deviation/Mean of ladder by country-year,GINI index (World Bank estimate),"GINI index (World Bank estimate), average 2000-15","gini of household income reported in Gallup, by wp5-year",CPI,Crime Index,Safety Index,GDP,Happiness Rank,Happiness Score,Standard Error,Lower Confidence Interval,Upper Confidence Interval,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Dystopia Residual,underFiveMortality,Life expectancy at birth (years),Life expectancy at age 60 (years)
3,3,Afghanistan,2011,3.83171916,7.415018559,0.521103561,50.36729813,0.495901406,0.0,0.731108546,0.6113873120000001,0.267174691,0.307385713,-1.919018388,-1.616221189,1.78535974,0.465942234,,,0.336764246,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.4 [77.3-96.3],59.2,15.8
13,13,Albania,2011,5.867421627000001,9.230897902999999,0.759433806,67.73040771,0.487496257,0.0,0.877002597,0.627659321,0.256576508,,-0.110022828,-0.27841264,1.845783353,0.314581692,,0.30325,0.407266378,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0 [10.1-25.0],76.6,21.0
21,21,Algeria,2011,5.317194462,9.471961975,0.810234487,64.5295639,0.529561281,0.0,0.637981653,0.5502033829999999,0.25489664100000003,,-1.18234086,-0.776609957,1.660420656,0.31227383,0.276,0.276,0.4262016420000001,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.6 [26.1-27.2],74.9,21.5
26,26,Angola,2011,5.589000702000001,8.684613228,0.723094344,50.89440536,0.583701789,0.0,0.911320329,0.658646524,0.361063153,0.23238717,-0.747358084,-1.215249777,2.212473869,0.395862162,,0.4270000000000001,,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0 [73.0-161.8],50.1,15.5
35,35,Argentina,2011,6.775805472999999,9.884780884,0.889073491,66.69458771,0.815802038,0.0,0.754645705,0.840047896,0.231855154,0.607537687,0.251967728,-0.442329347,1.987598896,0.293337643,0.436,0.4760666670000001,0.347596169,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.9 [13.6-14.2],75.7,21.1
47,47,Armenia,2011,4.2604913710000005,8.856818199,0.705108464,64.04859924,0.464524716,0.0,0.874601007,0.474549353,0.45907408,0.335884422,-0.377324402,-0.238400981,1.95014751,0.457728297,0.313,0.325066667,0.385223031,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.2 [14.5-20.6],73.9,19.2
58,58,Australia,2011,7.405616283,10.64022732,0.967029214,72.02824402,0.944586456,0.0,0.381771743,0.8158602709999999,0.195323676,0.5307866929999999,1.1947155,1.835443974,1.775903463,0.239804953,,0.34275,0.431181312,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6 [4.5-4.7],82.0,24.8
68,68,Austria,2011,7.470512867,10.70218182,0.944156826,70.98503876,0.939355612,0.0,0.702721,0.7894708509999999,0.14523755,0.406920105,1.2979825740000002,1.5584615469999998,1.848879695,0.247490332,0.308,0.303818182,0.34694165,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2 [4.0-4.4],80.8,23.7
80,80,Azerbaijan,2011,4.680469513,9.664858817999999,0.725193918,62.2909317,0.5374842879999999,0.0,0.795119047,0.53580451,0.258117318,0.741815805,-0.91699177,-0.802419841,1.878108263,0.401264936,,0.228833333,0.329581141,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.4 [27.2-52.0],71.6,18.4
89,89,Bahrain,2011,4.82397604,10.60074043,0.90786773,65.39968872,0.869870365,0.0,0.5825224520000001,0.543587804,0.513719201,,-1.084079385,0.4528171720000001,1.8084203,0.374881685,,,0.346707255,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.3 [7.9-8.7],76.1,19.3
