,Unnamed: 0,country,year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government,Democratic Quality,Delivery Quality,Standard deviation of ladder by country-year,Standard deviation/Mean of ladder by country-year,GINI index (World Bank estimate),"GINI index (World Bank estimate), average 2000-15","gini of household income reported in Gallup, by wp5-year",CPI,Crime Index,Safety Index,GDP,Happiness Rank,Happiness Score,Standard Error,Lower Confidence Interval,Upper Confidence Interval,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Dystopia Residual,underFiveMortality,Life expectancy at birth (years),Life expectancy at age 60 (years)
5,5,Afghanistan,2013,3.572100401,7.50337553,0.48355186,51.04298019,0.577955365,0.0,0.8232040999999999,0.620584846,0.273328096,0.482847273,-1.879708767,-1.403035522,1.2236899140000002,0.342568725,,,0.304368466,8.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.3,59.9,15.9
15,15,Albania,2013,4.550647736,9.258439064,0.759476721,68.29137421,0.631830275,0.0,0.862904966,0.633608878,0.338378578,0.338094711,0.070411183,-0.330955505,2.31558013,0.508846283,,0.30325,0.633796036,31.0,47.05,52.95,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.9,77.2,21.4
28,28,Angola,2013,3.937106848,8.729884148,0.7215907570000001,52.04230118,0.409554869,0.0,0.8163754940000001,0.65828377,0.370875001,0.547732353,-0.752538443,-1.213750005,2.3257281780000003,0.590720117,,0.4270000000000001,0.58806479,23.0,52.34,47.66,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.8,51.1,15.6
37,37,Argentina,2013,6.582260132,9.877256393,0.909874201,66.97756958,0.737250388,0.0,0.822900295,0.8424785140000001,0.25420472,0.433749259,0.171151072,-0.593692005,1.992898345,0.302768081,0.423,0.4760666670000001,0.362593263,34.0,59.29,40.71,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.7,76.0,21.3
49,49,Armenia,2013,4.277191162,8.952596664,0.723260045,64.45549011,0.504081845,0.0,0.8997967840000001,0.562174141,0.449949831,0.260400474,-0.238822803,-0.138635218,2.126446486,0.49715957,0.315,0.325066667,0.457181633,36.0,41.07,58.93,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.5,74.4,19.4
60,60,Australia,2013,7.3641691210000015,10.66709518,0.928205192,72.25133514,0.933379173,0.0,0.431539029,0.818835258,0.177142262,0.455871463,1.23374331,1.75117445,1.737719178,0.235969484,,0.34275,0.381207496,81.0,44.44,55.56,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,82.5,25.2
70,70,Austria,2013,7.498802662,10.7004528,0.949809194,71.11972046,0.921734452,0.0,0.6789368990000001,0.787312806,0.162603319,0.417099237,1.410333991,1.620333314,1.861462116,0.248234585,0.309,0.303818182,0.359079063,69.0,30.44,69.56,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9,81.1,23.8
82,82,Azerbaijan,2013,5.4811782839999985,9.716747284,0.7696901559999999,62.63373947,0.6719569559999999,0.0,0.6988195779999999,0.618874013,0.242455453,0.7489237190000001,-0.907814682,-0.643496394,1.439618945,0.26264771800000003,,0.228833333,0.273122132,28.0,36.69,63.31,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.5,72.2,18.5
91,91,Bahrain,2013,6.689711094,10.66149044,0.8837805390000001,65.64447784,0.8092059490000001,0.0,0.524703264,0.7683830859999999,0.306209415,,-1.32644105,0.490086734,1.814841509,0.271288484,,,0.420983464,48.0,19.79,80.21,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.9,76.7,19.5
103,103,Bangladesh,2013,4.660161018,7.95006752,0.530139685,61.28379059,0.741518021,0.0,0.742774189,0.619046271,0.246052667,0.7360269429999999,-1.016622663,-0.8656231759999999,2.030920506,0.435804784,,0.329,0.420356572,27.0,59.43,40.57,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.1,71.0,18.7
115,115,Belarus,2013,5.876466273999998,9.778838158,0.922505975,64.41842651,0.7234312890000001,0.0,0.653039157,0.6087141629999999,0.206219658,0.507824779,-0.7692347759999999,-0.8343037959999999,1.784175158,0.303613603,0.266,0.281875,0.27498883,29.0,26.82,73.18,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,71.7,18.5
126,126,Belgium,2013,7.10366106,10.61957264,0.909186184,71.52167511,0.8907110690000001,0.0,0.573664308,0.797417402,0.21713894600000005,0.554124534,1.156564236,1.502777457,1.5017786030000002,0.211409107,0.277,0.28518181800000003,0.330040932,75.0,42.95,57.05,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,80.7,23.8
137,137,Benin,2013,3.479412794,7.567653656,0.5768230560000001,50.89535141,0.783240497,0.0,0.8559555409999999,0.702019334,0.216339186,0.546921372,0.228342891,-0.550749421,1.587637544,0.456294686,,0.432666667,0.47372368,36.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.1,59.5,15.6
142,142,Bhutan,2013,5.5690917970000005,8.86372757,0.818948984,59.88940048,0.810201466,0.0,0.8024281259999999,0.7787234190000001,0.217349902,0.979500771,0.3129206,0.128376126,1.28398931,0.230556324,,0.412333333,0.359662414,63.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.7,69.1,20.3
152,152,Bolivia,2013,5.767428875,8.714517593,0.80273807,58.92830276,0.8459316490000001,0.0,0.811856568,0.759098828,0.410301536,0.433674455,-0.198793232,-0.699948013,1.984656572,0.34411460200000005,0.481,0.531642857,0.373834133,34.0,46.35,53.65,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
162,162,Bosnia and Herzegovina,2013,5.123664379,9.238404274,0.766827762,67.37329102,0.39034158,0.0,0.969836235,0.543629527,0.314516038,0.1134464,-0.260703534,-0.222710326,2.220200062,0.433322698,,0.32725,0.375923783,42.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2,77.0,20.4
172,172,Botswana,2013,4.128298759,9.652990341,0.8555707929999999,54.32556534,0.767357409,0.0,0.748847783,0.697808683,0.243771017,0.654667675,0.795857131,0.62875247,2.116227388,0.512614906,,0.626,0.60807544,64.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.3,64.2,17.1
184,184,Brazil,2013,7.140282631,9.644085883999999,0.910421729,64.60224152,0.784814954,0.0,0.706954181,0.81766206,0.275667757,0.393331289,0.07943648099999999,-0.046088338,2.18837595,0.30648309,0.529,0.550214286,0.400359184,42.0,62.62,37.38,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.2,74.7,21.4
193,193,Bulgaria,2013,3.993020535,9.680171967,0.829132318,66.76789856,0.60321337,0.0,0.9620471,0.622750044,0.278313011,0.17089231300000002,0.253990591,0.08163809,2.11749053,0.530297935,0.366,0.35466666700000005,0.368425876,41.0,41.47,58.53,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.3,74.1,19.3
